type,text,has_phone_number,has_special_chars,has_all_caps_words,has_url,is_mixed_language,has_currency,has_id_code,has_emoji,date/time,has_repeated_words,has_consecutive_special_chars,has_subscriber_code,avg_word_length,has_landline_number,word_length
Promo,"জিঅ 5G গ্ৰাহকসকলৰ বাবে বিশেষ অফাৰ
জিঅ এয়াৰফাইবৰ মাত্ৰ ₹1111ত ৫০ দিনৰ বাবে
সঁগত: মফৎ ইন্সটলেচন + ₹1000 কুপন
এতিয়া বুক কৰক bit.ly/Jio_SMS",0,1,1,1,1,1,0,0,0,1,0,1,4.95,0,118
Promo,"জিঅ'ফাইবাৰে আপোনাক স্বাস্থ্য আৰু ফিট্নেছ এপসমূহৰ বিনামূলীয়া এক্সেচ প্ৰদান কৰে। আমাৰ ওচৰত ওজন হ্ৰাস, মহিলাৰ স্বাস্থ্য, যোগাসন আৰু অন্যান্যৰ বাবে এপ আছে।
মাত্ৰ 599 টকা/মাহৰ পৰা আৰম্ভ হোৱা জিঅ'ফাইবাৰ প্লেনৰ সৈতে এই সকলোবোৰ লাভ কৰক।
আপোনাৰ জিঅ'ফাইবাৰ প্লেন এতিয়াই বুক কৰিবলৈ www.jio.com/r/woQCzLVBV -ত ক্লিক কৰক!",0,1,0,1,1,1,0,0,0,1,0,0,5.58,0,268
Ham,"299.0  টকাৰ ৰিচাৰ্জ সফল হৈছে!
Jio নম্বৰ : 7002983153।
প্ৰাপ্য:
Benefits: Unlimited Voice, Unlimited data - 42GB(1.5GB/Day), 100 SMS/Day & Subscription to Jio Apps. Validity - 28 Days।
লেনদেন আইডি:10003863133608
পৰিকল্পনাৰ বিৱৰণ চাওক - https://www.jio.com/dl/my_plans
আপোনাৰ শেহতীয়া ৰিচাৰ্জ অভিজ্ঞতা আমাৰ সৈতে ভাগ বতৰা কৰক - https://www.jio.com/en-in/jio-rech-exp-survey-assamese?custid=10003863133608",1,1,1,1,1,1,1,0,0,1,1,0,7.83,0,361
Promo,Jio 'ৰ সৈতে সংযুক্ত হৈ থাকক আৰু Jio 'ৰ বিশ্বমানৰ সেৱা উপভোগ কৰি থাকক যিটো আজিও আটাইতকৈ সুলভ হৈ আছে।,0,1,0,0,1,0,0,0,0,1,0,0,3.85,0,80
promo,অতুলনীয় সেৱাৰ সৈতে ভাৰতৰ একমাত্ৰ প্ৰকৃত 5G নেটৱৰ্কৰ অভিজ্ঞতা লাভ কৰক। প্ৰতিমাহে মাত্ৰ Rs. 349 ৰ পৰা আৰম্ভ কৰি সীমাহীন 5G ডাটা উপভোগ কৰক। প্লাছ প্ৰতিমাহে ২০% পৰ্যন্ত ৰাহি কৰক অন্য অপাৰেটৰ পৰা !,0,1,0,0,1,1,0,0,0,1,0,0,4.7,0,160
spam,Jio ৰ সৈতে যোগাযোগৰ বাবে আপোনাৰ পছন্দৰ ভাষা বাছনি কৰক আৰু কেৱল আপোনাৰ পছন্দ ভাষাত আপডেট লাভ কৰক। ভাষা সলনি কৰিবলৈ https://t.jio/WPZ4V ক্লিক কৰক। টিম Jio,0,1,1,1,1,0,0,0,0,1,1,0,4.62,0,127
promo,"চাইবাৰ সুৰক্ষিত হওক! আপোনাৰ ডিভাইচক বটনেট সংক্ৰমণ আৰু মেলৱেৰৰ পৰা সুৰক্ষিত কৰিবলে CERT-In GoI এ পৰামৰ্শ দিয়ে যে ""Free Bot Removal Tool"" ডাউনলোড কৰিবলৈ https://www.csk.gov.in",0,1,1,1,1,0,0,0,0,1,1,0,5.6,0,150
spam,এয়াৰটেল পেক 7086110961 ত 31-12-2021 ত সমাপ্ত হ'ব। আপোনাৰ বৰ্তমান বৈধতা নেহেৰুৱাই আজি ৰিচাৰ্জ কৰক u.airtel.in/FDP2 ইতিমধ্যে কৰিলে উপেক্ষা কৰক|,1,1,1,0,1,0,1,0,1,1,0,1,5.75,1,123
spam ,এয়াৰটেল পেক 7086110961 ত আজি ৰাতি শেষ হ'ব। অব্যাহত সেৱাৰ বাবে আপোনাৰ প্ৰিয় আনলিমিটেড পেকৰ সৈতে ৰিচাৰ্জ কৰক u.airtel.in/FDP2 ইতিমধ্যে কৰিলে উপেক্ষা কৰক|,1,1,1,0,1,0,1,0,0,1,0,0,5.43,0,131
spam,এয়াৰটেল অসীমিত পেকৰ বৈধতা 7086110961 ত 08-10-2021 ৰ লৈকে আছে। আপোনাৰ বৰ্তমান বৈধতা নেহেৰুৱাই আজি ৰিচাৰ্জ কৰক u.airtel.in/FDP2 ইতিমধ্যে কৰিলে উপেক্ষা কৰক।,1,1,1,0,1,0,1,0,1,1,0,1,5.73,1,133
