type,text,has_phone_number,has_special_chars,has_all_caps_words,has_url,is_mixed_language,has_currency,has_id_code,has_emoji,date/time,has_repeated_words,has_consecutive_special_chars,has_subscriber_code,avg_word_length,word_length
spam,"৳৯৯+অর্ডারে গিফট!	
কোডঃ 4V	
ডিম৳১৩৯	
চাল৳৬১	
তেল৳৮৯৫	
T&C	
chdl.co/MSBzirsV	",0,1,0,0,1,1,0,0,0,0,0,0,6.22,74
spam,"ফ্লোর ক্লিনার ১লিঃ৳১৪৯	
মাসের বাজারে ছাড়	
কোড:CD2	
T&C	
chdl.co/pukKKgMF	",0,1,1,0,1,0,0,0,0,0,0,0,6.22,69
spam,"ডিলে জাতীয় পতাকা৳৭১	
নগদ-এ ৳৭৫ক্যাশব্যাক	
গিফট কোডঃBD	
Chaldal.com/Free	",0,1,1,0,1,1,0,0,0,0,0,0,7.38,69
spam,"সাশ্রয়ে ৩৪% পযর্ন্ত ছাড়ে	
ডায়াপার চালডাল-এ	
T&C*	
chdl.co/mhOqX0K	",0,1,0,0,1,0,0,0,0,0,0,0,6.12,62
spam,আপনি 300 টাকা পেয়েছেন মেসেজ ওপশন এ গিয়ে লিখুন START NMZRR send 21213                                ,1,0,1,0,1,1,0,0,0,0,0,1,4.31,56
spam,বাংলা ও ইংলিশ মিডিয়ামের অভিজ্ঞ টিউটর খুঁজছেন?Tuition Aid 01601645145				,1,0,0,0,1,0,1,0,0,0,0,1,6.67,65
spam,"আকর্ষণীয় ১৫% ছাড়* ৳১০০ পর্যন্ত! উপায় অ্যাপ দিয়ে বিডিটিকেটস এর পেমেন্ট করলেই নিশ্চিত ছাড়, সর্বোচ্চ ৳৩০০ প্রতি কাস্টমার।                                                        ",0,1,0,0,0,0,0,0,0,1,0,0,5.33,101
spam,"কোড: upay15		
ক্লিক করুনঃ onelink.to/j7rwyf		
বিস্তারিত জানতে কল করুনঃ ১৬৪৬০		
*শর্ত প্রযোজ্য		",1,1,0,0,1,0,0,0,0,1,0,1,6.0,87
spam,Pureit RO ক্রয়ে ৩০০০ টাকা পর্যন্ত ছাড়! এছাড়াও থাকছে না কিনেই ১৫ দিনের ফ্রি ট্রায়াল অফার! কল করুন ১৬৬২৭ এ। শর্ত প্রযোজ্য**,1,1,1,0,1,1,0,0,1,0,1,1,4.32,100
spam,"আকর্ষণীয় ১৫% ছাড়* ৳১০০ পর্যন্ত! উপায় অ্যাপ দিয়ে বিডিটিকেটস এর পেমেন্ট করলেই নিশ্চিত ছাড়, সর্বোচ্চ ৳৩০০ প্রতি কাস্টমার।                                                        					",0,1,0,0,0,0,0,0,0,1,0,0,5.33,106
spam,আরিফিন শুভ অভিনীত ভালো থেকো দেখুন  রবি স্ক্রিনে: cutt.ly/LlBFSZk,0,1,0,0,1,0,0,0,0,0,0,0,5.78,55
spam,"প্রতিদিনের ভাগ্য রাশিফল পেতে টিয়া পাখির কথা না শুনে *26397*6#  ডায়াল করে জেনেনিন আপনার রাশি,  চার্জ ৳২.৬৭ দৈনিক",1,1,0,0,0,0,0,0,1,0,0,1,4.83,92
spam,এয়ারটেলে আপনার জন্য সেরা সব অফার পেতে *4# বা *123*3# ডায়াল করুন আজই।,0,1,0,0,0,0,0,0,0,0,0,1,3.85,56
spam,সুস্বাদু হিমসাগর ও ল্যাংড়া আম 🥭 গিফট বক্স!http://chaldal.com/fresh-fruit,0,1,0,1,0,0,0,1,0,0,1,0,8.14,65
spam,আলহামদুলিল্লাহ। আল্লাহ তায়ালার রহমতে এবং আপনাদের সকলের দোয়া নিয়ে সামনে এগোতে চাই। 🥰🥰🥰 একটা করে ভালোবাসা দিয়ে পাশে থাকবেন৷ ইনশাআল্লাহ 🙏🙏🙏🙏🙏🙏🙏,0,0,0,0,0,0,0,1,0,0,0,0,5.89,124
spam,"কর্ণফুলী এক্সপ্রেস কক্সবাজার শহরের উত্তর নুনিয়াছড়া (এয়ারপোর্ট রোড) বি আই ডব্লিও টিএ ঘাট থেকে প্রতিদিন নিয়মিত চলাচল করছে এম ভি কর্নফুলী এক্সপ্রেস জাহাজ টি। 🌊🛳️ কক্সবাজার টু সেন্টমার্টিন - সেন্টমার্টিন টু কক্সবাজার 🛳️🌊🚢 সম্পূর্ণ শীতাতপ নিয়ন্ত্রিত Karnafuly Express এর যাত্রা সময়সূচী: ⌚কক্সবাজার এয়ারপোর্ট রোড নুনিয়াছড়া বি আই ডব্লিও টি এ ঘাট থেকে ছাড়ে সকাল: ৭.০০ টায়।⌚সেন্টমার্টিন থেকে ছাড়ে বিকাল: ৩.৩০ মিনিটে।উভয় দিক থেকে গন্তব্যে পৌছতে সময় লাগবে ৫ ঘন্টা (+,-) ।🏖️ পর্যটকবাহী জাহাজের (জনপ্রতি আসা-যাওয়া) নতুন ভাড়ার তালিকা: 🏖️==========================💺রেগুলার ক্লাস ( Lavender) : ৩,০০০/-💺(শোভন ক্লাস চেয়ার (Marigold) : ৩,০০০/-💺বিজনেস ক্লাস (ডিলাক্স) চেয়ার ( Gladiolas) : ৪,০০০/-💺ওপেন ডেক চেয়ার ( Open Deck) : ৪,০০০/- 💺লিলাক লাউঞ্জ( Lelak Lounge) : ৪,০০০/-💺ভি আই পি লাউঞ্জ (Chrysanthemum Lounge) : ৪,৫০০/- 🛏সিঙ্গেল কেবিন( Single Cabin) : ৭,৫০০/- টাকা (১ জন এর জন্য প্রযোজ্য) 🛌টুইন বেড কেবিন (Twin Bed Cabin) : ১২,০০০/- (২ জন এর জন্য প্রযোজ্য) 🛌ভি আই পি কেবিন ( VIP Cabin) : ২০,০০০/-(২ জন এর জন্য প্রযোজ্য)🛌ভি ভি আই পি কেবিন (VVIP Cabin) : ২৮,০০০/- (২ জন এর জন্য প্রযোজ্য) শুধু যাওয়া বা আসা:-==============================💺রেগুলার ক্লাস ( Lavender) : ১,৬০০/-💺(শোভন ক্লাস চেয়ার (Marigold) : ১,৬০০/-💺বিজনেস ক্লাস (ডিলাক্স) চেয়ার ( Gladiolas) : ২,১০০/- 💺ওপেন ডেক চেয়ার ( Open Deck) : ২,১০০/-💺লিলাক লাউঞ্জ( Lelak Lounge) : ২,১০০/-💺ভি আই পি লাউঞ্জ (Chrysanthemum Lounge) : ২,৩০০/- 🛏সিঙ্গেল কেবিন( Single Cabin) : ৪,০০০/- টাকা (১ জন এর জন্য প্রযোজ্য)🛌টুইন বেড কেবিন (Twin Bed Cabin) : ৬,৫০০/-(২ জন এর জন্য প্রযোজ্য)🛌ভি আই পি কেবিন ( VIP Cabin) : ১১,৫০০/-(২ জন এর জন্য প্রযোজ্য)🛌ভি ভি আই পি কেবিন (VVIP Cabin) : ১৫,০০০/-(২ জন এর জন্য প্রযোজ্য)🚸 (প্রতিটি কেবিন ২ জন এর জন্য প্রযোজ্য, সিঙ্গেল কেবিনে ১জন প্রযোজ্য। অতিরিক্ত জনপ্রতি আলাদা টিকেট কেটে নিতে হবে)👪 শিশু পলেসি: ৫ বছর বয়স পর্যন্ত সম্পূর্ণ ফ্রি, ৫ বছরের বড় সকলকে টিকেট কাটতে হবে।🏠 অফিসঃ B-70,Sea beach R/A,Shugandha point,Cox's Bazar.For more details:01922287423.",1,1,1,0,1,1,1,1,1,1,1,0,5.1,1615
ham,"ভাই, আপাতত দুইটার রেফারি হিসেবে জীবন তেজপাতা।",0,0,0,0,0,0,0,0,0,0,0,0,5.29,39
spam,ইমরান ও ন্যান্সির এক পৃথিবী প্রেম ৭দিনের জন্য গুন্গুন্ সেট ক,0,0,0,0,0,0,0,0,0,0,0,0,4.55,50
spam,ফ্লোর ক্লিনার ১লিঃ৳১৪৯মাসের বাজারে ছাড় কোড:CD2 T&C chdl.co/pukKKgMF,0,1,1,0,1,0,0,0,0,0,0,0,7.0,60
spam,মোবাইল ব্যালেন্সে আনলিমিটেড সিনেমা দেখতে Subscribe: https://robi.epicon.in,0,1,0,1,1,0,0,0,0,0,1,0,8.86,68
spam,ডিলে জাতীয় পতাকা৳৭১ নগদ-এ ৳৭৫ক্যাশব্যাক গিফট কোডঃBD Chaldal.com/Free,0,1,1,0,1,1,0,0,0,0,0,0,7.38,62
spam,আমাদের প্রিয় নবী মুহাম্মাদ (সা.) কীভাবে পবিত্র জুম্মার দিনটি কাটাতেন জানতে ডায়াল করুন *213*14746# চার্জ ২.৬৭ টাকা/দিন।,1,1,0,0,0,1,0,0,1,0,0,1,5.47,102
ham,দিয়ে যা। বেকার আছি,0,0,0,0,0,0,0,0,0,0,0,0,3.5,15
spam,সাথেই থাকুন। *1122*10# ডায়েল করে পেয়ে যান 10 টাকা ব্যালেন্স ! ভ্যাট এবং সার্ভিস চার্জ প্রযোজ্য!,0,1,0,0,0,1,0,0,0,0,0,1,4.93,80
spam,"সুলতান'স ডাইনে ৩০% ডিস্কাউন্ট লুফে নিন এই মেসেজটি দেখিয়ে আগামী তিনদিনের মধ্যে, কমপক্ষে ৫০০ টাকার অর্ডারে টেকএওয়ে কিংবা ডাইনইনে। বিস্তারিতঃ 01407059983",1,1,0,0,0,1,1,0,1,0,0,0,6.0,130
ham,যেগুলা বিয়ে করে নাই এদের কি হবে!!!😄,0,1,0,0,0,0,0,1,0,0,1,0,3.57,29
ham,আপু আমার মেয়ে আজকে শরীর খারাপ...  আমি কালকে যাবো,0,0,0,0,0,0,0,0,0,0,1,0,4.0,39
spam,"হেলথ্কেয়ার ফার্মাসিউটিক্যালস লিমিটেড এর অঙ্গপ্রতিষ্ঠান ‘শিলাইদহ ডেইরী’ আপনার প্রয়োজন পূরণ ও সুস্বাস্থ্য নিশ্চিত করতে বাজারে এনেছে খাঁটি দুধের ক্রীম থেকে তৈরি আল্ট্রা বাটার। পণ্য বাছাই এর সময় তাই পরিবারের জন্য হেলদি ও টেস্টি খাবার নিশ্চিত করুন স্বাদ ও মানে অনন্য আল্ট্রা বাটারের সাথে। আল্ট্রা বাটার - লেটস্ টেস্ট দ্যা বেস্ট।

আমাদের সম্পর্কে বিস্তারিত জানতে কিংবা অর্ডার করতে ভিজিট করুন- আল্ট্রা’র ফেসবুক পেজঃ https://cutt.ly/iEW25U8 ওয়েবসাইটঃ https://cutt.ly/JEW9fQl অথবা কল করুন ০১৮৪৪২৪৫২০৬ এই নম্বরে।",1,1,1,1,0,0,1,0,0,1,1,0,5.9,434
spam,করোনা ভাইরাস থেকে বাঁচতে নানা টিপস পেতে ডায়াল করুন *213*14002# চার্জ ২.৬৭/দিন,1,1,0,0,0,0,0,0,1,0,0,1,5.08,66
spam,নেট এমবি থাক  বা  না থাক sms টা  সবাই কে পাঠাবেন কারণ আজ   প্রিও নবির  জন্মের  রাত,0,0,0,0,1,0,0,0,0,1,0,0,3.47,59
