label,message,has_phone_number,has_special_chars,has_all_caps_words,has_url,is_mixed_language,has_currency,has_id_code,has_emoji,date/time,has_repeated_words,has_consecutive_special_chars,has_subscriber_code,avg_word_length,word_length
ham,মা বলেছে বাজার থেকে সবজি আনতে।,0,0,0,0,0,0,0,0,0,0,0,0,4.0,25
spam,১০০% ডিসকাউন্ট! অফারটি শুধুমাত্র আজকের জন্য। ভিজিট করুন https://www.benson.com/,0,1,0,1,0,0,0,0,0,0,1,0,6.89,71
ham,তুই কি আমার খাতা নিয়ে গেছিস?,0,0,0,0,0,0,0,0,0,0,0,0,3.83,24
spam,বিনামূল্যে রিচার্জ পেতে এখনই http://www.wilson.com/ ডায়াল করুন।,0,1,0,1,0,0,0,0,0,0,1,0,7.29,58
ham,আজ সন্ধ্যায় আমাদের দেখা হবে তো?,0,0,0,0,0,0,0,0,0,0,0,0,4.33,27
ham,তুই কোথায় আছিস এখন?,0,0,0,0,0,0,0,0,0,0,0,0,4.0,17
ham,রাতে খাওয়ার জন্য কি রান্না হবে?,0,0,0,0,0,0,0,0,0,0,0,0,4.33,27
ham,মা বলেছে বাজার থেকে সবজি আনতে।,0,0,0,0,0,0,0,0,0,0,0,0,4.0,25
ham,রাতে খাওয়ার জন্য কি রান্না হবে?,0,0,0,0,0,0,0,0,0,0,0,0,4.33,27
ham,আজ সন্ধ্যায় আমাদের দেখা হবে তো?,0,0,0,0,0,0,0,0,0,0,0,0,4.33,27
spam,আপনার ATM কার্ড ব্লক হয়ে গেছে। এখনই 001-066-178-0497 এ ফোন করুন।,1,1,1,0,1,0,0,0,0,0,0,1,4.55,55
ham,আজ অফিসে অনেক কাজ ছিল।,0,0,0,0,0,0,0,0,0,0,0,0,3.4,18
ham,তুই কোথায় আছিস এখন?,0,0,0,0,0,0,0,0,0,0,0,0,4.0,17
ham,মা বলেছে বাজার থেকে সবজি আনতে।,0,0,0,0,0,0,0,0,0,0,0,0,4.0,25
spam,বিনামূল্যে রিচার্জ পেতে এখনই http://www.garrett-jones.com/ ডায়াল করুন।,0,1,0,1,0,0,0,0,0,0,1,0,8.14,65
spam,বিনামূল্যে রিচার্জ পেতে এখনই http://www.andrews-baker.biz/ ডায়াল করুন।,0,1,0,1,0,0,0,0,0,0,1,0,8.14,65
spam,বিনামূল্যে রিচার্জ পেতে এখনই https://www.case-hall.net/ ডায়াল করুন।,0,1,0,1,0,0,0,0,0,0,1,0,7.71,62
ham,আজ সন্ধ্যায় আমাদের দেখা হবে তো?,0,0,0,0,0,0,0,0,0,0,0,0,4.33,27
spam,আপনার নম্বরটি নির্বাচিত হয়েছে ৫ লক্ষ টাকার পুরস্কারের জন্য। (225)427-7488 এ যোগাযোগ করুন।,1,1,0,0,0,1,0,0,0,0,0,1,5.62,78
ham,তুই কি আমার খাতা নিয়ে গেছিস?,0,0,0,0,0,0,0,0,0,0,0,0,3.83,24
ham,রাতে খাওয়ার জন্য কি রান্না হবে?,0,0,0,0,0,0,0,0,0,0,0,0,4.33,27
spam,আপনার নম্বরটি নির্বাচিত হয়েছে ৫ লক্ষ টাকার পুরস্কারের জন্য। 160-726-5543x466 এ যোগাযোগ করুন।,1,1,0,0,1,1,0,0,0,0,0,0,5.92,81
spam,বিনামূল্যে রিচার্জ পেতে এখনই https://www.wong.info/ ডায়াল করুন।,0,1,0,1,0,0,0,0,0,0,1,0,7.29,58
ham,আজ অফিসে অনেক কাজ ছিল।,0,0,0,0,0,0,0,0,0,0,0,0,3.4,18
ham,আজ সন্ধ্যায় আমাদের দেখা হবে তো?,0,0,0,0,0,0,0,0,0,0,0,0,4.33,27
ham,আজ অফিসে অনেক কাজ ছিল।,0,0,0,0,0,0,0,0,0,0,0,0,3.4,18
spam,আপনার নাম লটারি ড্র-তে উঠেছে! এখনই +1-471-083-9591 এ কল করুন পুরস্কার নিতে।,1,1,0,0,0,0,0,0,0,0,0,1,4.75,64
spam,আপনার একাউন্টে সন্দেহজনক কার্যক্রম ধরা পড়েছে। লগইন করুন http://martinez.com/ যাচাই করতে।,0,1,0,1,0,0,0,0,0,0,1,0,6.55,79
ham,বন্ধুরা মিলে আজকে সিনেমা দেখতে যাব।,0,0,0,0,0,0,0,0,0,0,0,0,4.83,30
ham,মা বলেছে বাজার থেকে সবজি আনতে।,0,0,0,0,0,0,0,0,0,0,0,0,4.0,25
ham,আজ সন্ধ্যায় আমাদের দেখা হবে তো?,0,0,0,0,0,0,0,0,0,0,0,0,4.33,27
ham,মা বলেছে বাজার থেকে সবজি আনতে।,0,0,0,0,0,0,0,0,0,0,0,0,4.0,25
ham,আজকে অনেক মজা করলাম!,0,1,0,0,0,0,0,0,0,0,0,0,4.0,17
