label,text,has_phone_number,has_special_chars,has_all_caps_words,has_url,is_mixed_language,has_currency,has_id_code,has_emoji,date/time,has_repeated_words,has_consecutive_special_chars,has_subscriber_code,avg_word_length,word_length
Spam,সোনালী ব্যাংক অ্যাকাউন্টে সমস্যা হয়েছে। কল করুন: +8801818788890,1,1,0,0,0,0,1,0,0,0,0,0,6.75,57
Spam,ক্রিপ্টো বিনিয়োগে লাভবান হন! আজই শুরু করুন: http://bit.ly/CryptoInvest,0,1,0,1,0,0,0,0,0,0,1,0,7.12,64
Spam,"স্পেশাল ডিল শেষ দিন,৩০জিবি @৩০০৳,৩০দিন! আজই নাও- cutt.ly/jwkuSC76",0,1,0,0,1,0,0,0,0,0,0,0,6.38,58
Spam,ফার্নিচারে মেগা সেল! সব পণ্যে ১৫-৩০% ছাড়। আজই ভিজিট করুন।,0,1,0,0,0,0,0,0,0,0,0,0,4.4,49
Spam,আপনার ব্যাংক কার্ডটি অবিলম্বে আপডেট করুন। এখানে ক্লিক করুন: [verifybankcard.com/UpdateBD],0,1,0,0,1,0,0,0,0,1,0,0,7.4,80
Spam,"৪০৳ ক্যাশব্যাক! ৪৬জিবি @৪৫৮৳, ৩০দিন, নিয়ে নাও এখনই: cutt.ly/GwWYCCfJ",0,1,0,0,1,0,0,0,0,0,0,0,5.89,60
Spam,আজই ক্যাসিনোতে বাজি ধরুন এবং একটি বিলাসবহুল ট্রিপ জিতুন! যোগ দিন: smilesvoegol.servebbs.org/voegol.php,0,1,0,0,1,0,0,0,0,0,0,0,7.08,91
Spam,নতুন কাস্টমারদের জন্য বিশেষ ডিসকাউন্ট। আজই রেজিস্টার করুন।,0,0,0,0,0,0,0,0,0,0,0,0,6.12,51
Spam,সব ডিভিডিতে ১০% ছাড়। অফারটি সীমিত সময়ের জন্য।,0,1,0,0,0,0,0,0,0,0,0,0,4.62,40
Spam,"হটশট ক্যাশব্যাক ৳২০! হটস্পট ডিলে ২২জিবি@৳১৭৭, ৭দিন: cutt.ly/pw746B4G",0,1,0,0,1,0,0,0,0,0,0,0,6.88,61
